Contêiner,Caixa,Cilindro,Peso do cilindro (g),Volume do cilindro (mL)
A,LB_1,1,294,140.0
B,LB_2,3,977,101.14
B,LB_2,8,605,80.13
B,LB_3,10,194,24.01
C,LB_4,12,182,44.39
C,LB_4,13,116,30.53
D,LB_7,18,156,18.08
F,LB_8,28,191,24.58
H,LB_10,39,5,0.65
I,LB_12,49,505,50.65
I,LB_12,53,956,531.11
J,LB_13,58,5,0.71
K,LB_15,61,74,8.46
K,LB_15,65,159,82.38
K,LB_15,72,55,33.13
L,LB_16,77,5,0.7
L,LB_16,90,5,1.37
M,LB_17,96,757,296.86
M,LB_18,111,878,280.51
N,LB_19,127,32,3.66
O,LB_20,131,307,307.0
O,LB_20,135,110,75.86
O,LB_20,136,442,193.86
O,LB_20,138,999,114.96
P,LB_21,142,277,268.93
P,LB_21,147,18,5.83
P,LB_21,150,999,209.87
Q,LB_22,155,21,3.7
R,LB_23,160,62,17.82
R,LB_23,165,32,5.73
S,LB_24,174,331,41.07
T,LB_25,182,216,90.0
T,LB_26,186,203,29.34
U,LB_27,196,140,20.14
U,LB_28,200,999,657.24
V,LB_29,201,36,10.91
V,LB_29,202,18,5.86
X,LB_30,206,358,50.0
X,LB_30,214,189,19.13
Y,LB_32,223,340,36.4
Z,LB_33,230,12,1.28
Z,LB_33,232,69,8.96
AB,LB_37,238,999,108.35
AB,LB_38,239,343,78.67
AC,LB_39,247,307,39.31
AD,LB_40,257,71,35.5
AD,LB_41,259,176,115.79
AF,LB_43,272,303,35.11
AF,LB_43,274,5,0.52
AG,LB_44,284,5,0.74
AI,LB_46,298,200,95.24
AI,LB_46,299,152,16.58
AJ,LB_48,311,5,0.77
AL,LB_51,328,295,45.74
AM,LB_52,345,787,115.91
AN,LB_54,360,27,6.6
AN,LB_54,361,57,14.47
AN,LB_54,374,999,128.57
AN,LB_55,376,312,41.94
AN,LB_55,377,38,4.76
AN,LB_55,378,999,120.94
AO,LB_56,398,7,2.79
AQ,LB_59,408,423,227.42
AQ,LB_59,411,5,1.03
